"index_code","name","open","low","high","close","vol","trade_date"
"801001.SI",申万50,2711.81,2695.79,2735.7,2713.73,331638,"20190603"
"801001.SI",申万50,2716.15,2681.32,2716.15,2687.45,280505,"20190604"
"801001.SI",申万50,2711.66,2686.4,2715.43,2688.28,301321,"20190605"
"801001.SI",申万50,2694.78,2660.87,2694.78,2667.68,266749,"20190606"
"801001.SI",申万50,2679.21,2678,2719.42,2709.99,327468,"20190610"
"801001.SI",申万50,2715.68,2715.68,2794.95,2791.07,496151,"20190611"
"801001.SI",申万50,2780.65,2763.49,2780.65,2769.47,303849,"20190612"
"801001.SI",申万50,2771.1,2739.32,2773.28,2763.89,269519,"20190613"
"801001.SI",申万50,2767.37,2746.32,2786.05,2749.56,265468,"20190614"
"801001.SI",申万50,2750.2,2745.36,2775.25,2752.45,215225,"20190617"
"801001.SI",申万50,2758.12,2741.91,2769.45,2766.21,241198,"20190618"
"801001.SI",申万50,2838.83,2807.91,2844.61,2807.91,459427,"20190619"
"801001.SI",申万50,2812.39,2812.39,2915.66,2907.6,589326,"20190620"
"801001.SI",申万50,2905.36,2892.65,2923.64,2903.03,516888,"20190621"
"801001.SI",申万50,2903.02,2894.49,2922.17,2911.83,312808,"20190624"
"801001.SI",申万50,2909.62,2837.47,2910.13,2874.66,402938,"20190625"
"801001.SI",申万50,2863.54,2859.23,2884.4,2873.8,256954,"20190626"
"801001.SI",申万50,2887.59,2887.59,2923.64,2911.76,357368,"20190627"
"801001.SI",申万50,2907.44,2886.26,2913.44,2906.16,258198,"20190628"
"801001.SI",申万50,2968.22,2964.07,3003.9,3002.03,648460,"20190701"
"801001.SI",申万50,2997.12,2989.64,3005.4,3002.22,566337,"20190702"
"801001.SI",申万50,2992.79,2942.71,2992.79,2956.58,452369,"20190703"
"801001.SI",申万50,2959.35,2927.83,2968.23,2941.91,383936,"20190704"
"801001.SI",申万50,2941.98,2932.47,2970.5,2966.54,294676,"20190705"
"801001.SI",申万50,2952.4,2881.91,2952.4,2904.76,426107,"20190708"
"801001.SI",申万50,2901.22,2880.5,2908.66,2893.12,280773,"20190709"
"801001.SI",申万50,2908.08,2883.51,2908.08,2894.16,280986,"20190710"
"801001.SI",申万50,2914.15,2891.62,2936.15,2898.6,283746,"20190711"
"801001.SI",申万50,2896.91,2896.7,2930.08,2921.21,325077,"20190712"
"801001.SI",申万50,2904.56,2874.05,2944.15,2928.23,391254,"20190715"
